show tmp list
-1600 1 0
-3200 3 2
-4800 5 4
-6400 7 6
-939 8 0
-1599 10 0
-1837 10 9
-3435 12 11
-4796 19 18
-6394 21 20
-1517 25 24
-3198 27 26
-4798 29 28
-6398 31 30
-7996 33 32
-7996 33 32
-1599 36 0
-3198 38 62
-3198 38 37
-4159 38 4
-6394 40 39
-1149 43 0
-2747 45 44
-6396 49 48
-6766 49 66
-6766 49 66
-2508 53 52
-4798 55 54
-6398 57 56
-1167 61 60
-3198 63 62
-3198 63 37
-4798 65 46
-5254 65 64
-4798 65 64
-5454 65 39
-3198 70 69
-4798 72 71
-7992 74 73
-1298 78 75
-3435 80 79
-6398 82 30
-6398 82 81
-3435 88 87
-6394 94 39
show tmp list done
